Ribo_score,RNAcode_score,Conservation_score,pI,pL,pV,Feature
4844.618573,78.63,0.6,0.081633,0.061224,0.102041,1
2798.154625,0,0.4,0,0.147059,0.088235,1
5544.919026,0,0.1,0.045455,0.090909,0.136364,1
2065.102288,52.35,1,0.076923,0.025641,0.128205,1
1458.990876,0,0.8,0,0.06383,0.06383,1
996.4731222,0,0.1,0.073171,0.02439,0.146341,1
3062.350161,0,0.2,0.021277,0.106383,0.12766,1
6944.184314,0,0.1,0.020408,0.040816,0.122449,1
3.844741673,60.12,0.8,0.046512,0.069767,0.093023,1
46.4397401,60.46,0.5,0.058824,0.058824,0.039216,1
34.29943034,62.13,0.9,0.071429,0.142857,0.071429,1
957.7800959,0,1,0,0.083333,0.166667,-1
908.5195572,0,0.9,0.088235,0.058824,0.147059,-1
695.1906771,0,0.8,0.075,0.025,0.025,-1
585.7007688,0,0.6,0,0.045455,0.090909,-1
477.8938725,0,0.5,0,0.157895,0.078947,-1
449.5209963,0,0.7,0.083333,0.041667,0.083333,-1
446.0295794,0,1,0.111111,0.055556,0.055556,-1
353.0896198,0,0.7,0,0.055556,0.111111,-1
349.9770327,0,1,0.095238,0,0.047619,-1
323.4710616,0,0.8,0.075,0.025,0.025,-1
295.6276298,0,0.9,0,0.076923,0.115385,-1
286.6143427,0,0.8,0,0.046512,0.023256,-1
260.5326053,0,0.4,0.05,0.1,0.05,-1
245.9485228,0,0.9,0,0.025641,0.025641,-1
225.6699768,0,0.8,0.075,0.025,0.025,-1
188.492016,0,0.6,0,0.058824,0.058824,-1
173.762168,0,0.8,0,0,0.045455,-1
164.6862501,0,1,0,0.157895,0.210526,-1
164.2569365,0,1,0.074074,0.074074,0.074074,-1
151.8167213,0,0.6,0,0.052632,0.078947,-1
134.3249375,0,0.7,0.03125,0.09375,0.09375,-1
129.8082486,0,0.9,0,0.179487,0.128205,-1
120.1824069,0,0.8,0,0.095238,0.238095,-1
119.8691085,0,1,0,0.09375,0.03125,-1
111.2303087,0,0.2,0,0.0625,0.1875,-1
99.25988574,0,0.8,0,0.045455,0.045455,-1
98.02575673,0,0.9,0.03125,0.125,0.09375,-1
97.32243594,0,0.7,0,0.107143,0.107143,-1
93.03958496,0,0.8,0,0.130435,0,-1
92.31694914,0,1,0,0.117647,0,-1
92.23910595,0,0.7,0.055556,0.111111,0.055556,-1
91.74230766,0,0.8,0.025,0.025,0.075,-1
85.0310128,0,0.8,0,0.130435,0,-1
84.37057934,0,0.8,0.071429,0.071429,0.035714,-1
73.25607217,0,1,0,0.117647,0.117647,-1
73.06510404,0,0.6,0,0.041667,0.083333,-1
62.05273222,0,0.8,0,0.130435,0,-1
61.96343167,0,1,0,0.030303,0.060606,-1
60.31263992,0,0.3,0,0,0.176471,-1
56.73183848,0,1,0,0.058824,0.058824,-1
51.38394026,0,1,0.047619,0.047619,0.095238,-1
51.10718722,0,1,0,0.08,0.08,-1
49.54899812,0,0.7,0,0.142857,0.107143,-1
44.6525598,0,1,0.052632,0.052632,0.052632,-1
44.01410699,0,0.4,0,0,0.117647,-1
42.58535368,0,1,0,0.105263,0.052632,-1
42.57626228,0,0.6,0,0.041667,0.083333,-1
41.40096026,0,0.3,0.045455,0.090909,0.090909,-1
39.57903563,0,0.8,0.045455,0.090909,0.090909,-1
38.91142361,0,0.9,0.071429,0.107143,0.071429,-1
37.49824659,0,0.5,0,0.136364,0.113636,-1
34.00433042,0,1,0,0.122449,0.122449,-1
29.08168969,0,1,0,0.068966,0.103448,-1
25.90670767,0,0.4,0.02439,0.02439,0.04878,-1
23.90886163,0,0.5,0,0.136364,0.113636,-1
22.00876733,0,0.2,0,0.0625,0.1875,-1
21.73316922,0,0.8,0,0.037037,0.111111,-1
19.2637977,0,0.3,0.05,0.1,0.075,-1
17.91897722,0,0.7,0.026316,0.052632,0.131579,-1
17.44787154,0,0.4,0.019608,0.078431,0.117647,-1
16.59020774,0,0.5,0,0.033333,0.133333,-1
16.52463388,0,0.2,0.038462,0.038462,0.115385,-1
12.82487807,0,0.9,0,0.114286,0.2,-1
10.08819945,0,1,0,0.052632,0.157895,-1
9.04445588,0,0.2,0,0.0625,0.1875,-1
8.835251925,0,1,0,0.0625,0.1875,-1
7.379689894,0,1,0,0.041667,0.125,-1
7.054933205,0,0.8,0,0.037037,0.111111,-1
6.728322567,0,0.6,0,0,0.133333,-1
5.258983403,0,0.9,0,0.041667,0.125,-1
4.684835961,0,1,0.052632,0.052632,0.052632,-1
4.638008972,0,1,0.142857,0.047619,0.095238,-1
3.235712561,0,0.9,0,0.047619,0.095238,-1
3.165423879,0,1,0.032258,0.16129,0.16129,-1
2.735285605,0,0.6,0,0,0.066667,-1
